Date,Steps,Calories(kcal)
2025-02-19,606,597
2025-02-20,8318,2009
2025-02-21,6638,1951
2025-02-22,10263,1991
2025-02-23,1449,1734
2025-02-24,5142,1899
2025-02-25,6338,1933
2025-02-26,7854,1964
2025-02-27,3420,1768
2025-02-28,13468,2166
2025-03-01,2983,1761
2025-03-02,9290,2005
2025-03-03,7267,1935
2025-03-04,2856,1820
2025-03-05,12084,2115
2025-03-06,15338,2160
2025-03-07,4475,1823
2025-03-08,8104,1984
2025-03-09,5298,1858
2025-03-10,6686,1960
2025-03-11,8662,1966
2025-03-12,8232,1994
2025-03-13,7391,2006
2025-03-14,9075,1989
2025-03-15,5170,1890
2025-03-16,4108,1891
2025-03-17,5955,1945
2025-03-18,8193,1977
2025-03-19,6851,1857
2025-03-20,2366,1710
2025-03-21,7309,1981
2025-03-22,14906,2124
2025-03-23,4084,1896
2025-03-24,8318,2062
2025-03-25,10398,2038
2025-03-26,8960,2039
2025-03-27,6148,1957
2025-03-28,7655,1937
2025-03-29,8752,2068
2025-03-30,6009,1953
2025-03-31,11126,2083
2025-04-01,7423,2049
2025-04-02,7899,2060
2025-04-03,2620,1744
2025-04-04,7899,1977
2025-04-05,13700,2176
2025-04-06,3619,1885
2025-04-07,6657,1896
2025-04-08,7213,1913
2025-04-09,7025,1950
2025-04-10,12864,2147
2025-04-11,4417,1852
2025-04-12,12170,2000
2025-04-13,4256,1845
2025-04-14,4917,1816
2025-04-15,5676,1967
2025-04-16,6615,1901
2025-04-17,6592,1977
2025-04-18,8310,2074
2025-04-19,14753,2168
2025-04-20,4575,1852
2025-04-21,5146,1959
2025-04-22,7980,1982
2025-04-23,7093,1929
2025-04-24,6230,1933
2025-04-25,5877,1853
2025-04-26,4291,1769
2025-04-27,6751,1960
2025-04-28,8691,2010
2025-04-29,10150,2129
2025-04-30,13616,2061
2025-05-01,4498,1905
2025-05-02,10776,2060
2025-05-03,11927,2126
2025-05-04,3695,1895
2025-05-05,7427,1974
2025-05-06,4851,1849
2025-05-07,7356,1956
2025-05-08,5340,1829
2025-05-09,7115,1902
2025-05-10,13984,2155
2025-05-11,3592,1879
2025-05-12,7563,2010
2025-05-13,7571,1935
2025-05-14,10918,2143
2025-05-15,7562,2036
2025-05-16,7719,1996
2025-05-17,2938,1773
2025-05-18,6855,1946
2025-05-19,5869,1841
2025-05-20,7675,1953
2025-05-21,10151,2049
2025-05-22,9396,2013
2025-05-23,9029,2034
2025-05-24,11949,2161
2025-05-25,8836,2069
2025-05-26,8336,2061
2025-05-27,9362,2109
2025-05-28,7575,1978
2025-05-29,8060,2079
2025-05-30,6167,1986
2025-05-31,4309,1837
2025-06-01,6437,1955
2025-06-02,8752,2038
2025-06-03,8619,2017
2025-06-04,7425,1989
2025-06-05,7614,1925
2025-06-06,8734,2021
2025-06-07,17220,2293
2025-06-08,9153,2173
2025-06-09,10902,2165
2025-06-10,20151,2430
2025-06-11,5588,1939
2025-06-12,9850,2147
2025-06-13,8128,1997
2025-06-14,9669,2021
2025-06-15,12652,2119
2025-06-16,16056,2243
2025-06-17,13735,2242
2025-06-18,19207,2303
2025-06-19,10471,2008
2025-06-20,11659,2111
2025-06-21,14053,2154
2025-06-22,14917,2247
2025-06-23,19599,2381
2025-06-24,11362,2067
2025-06-25,3810,1871
2025-06-26,4355,1844
2025-06-27,4518,1882
2025-06-28,2878,1792
2025-06-29,2546,1730
2025-06-30,8734,2033
2025-07-01,7252,1907
2025-07-02,9008,1998
2025-07-03,7533,1891
2025-07-04,8310,1975
2025-07-05,6782,1878
2025-07-06,3410,1861
2025-07-07,6796,1976
2025-07-08,7133,2015
